Date,Close,High,Low,Open,Volume
2000-11-28,485.4515686035156,485.4515686035156,468.78904037788266,472.5194571448154,578860
2000-11-29,478.2393798828125,486.1976014929269,475.50374120433565,476.9959077562321,358574
2000-11-30,481.47247314453125,492.41502935236156,475.5038061220784,482.46725098160675,1872517
2000-12-01,483.2133483886719,489.7291312674065,474.8074632780497,480.4777092572898,1613363
2000-12-04,476.4986267089844,480.9751273774404,472.81793623830197,477.294436906758,333139
2000-12-05,488.43585205078125,489.43062975353234,475.5037419150172,478.4880750232704,1325426
2000-12-06,478.7369689941406,490.4256118734781,472.5196057604505,490.4256118734781,1132003
2000-12-07,467.296875,479.98029204364025,461.5769026077701,475.50379191059073,542971
2000-12-08,464.3125305175781,468.0429472062571,457.59778047795595,457.59778047795595,250400
2000-12-11,452.6238098144531,469.53502908224584,452.6238098144531,463.566363458319,555137
2000-12-12,462.57183837890625,472.5196198494204,449.6397224672379,457.9958528308258,448912
2000-12-13,448.6447448730469,462.5716327405029,441.18391208690974,461.5768550356846,242935
2000-12-14,463.56646728515625,466.3518330568903,452.12652227704615,452.62391119044224,762836
2000-12-15,487.44122314453125,487.92865465304686,461.07960597446987,463.0691619873047,4216546
2000-12-18,491.6690673828125,494.4047071102839,475.50392353866334,475.50392353866334,1898654
2000-12-19,493.4097595214844,506.34187015410396,491.2212363480658,491.2212363480658,837419
2000-12-20,487.9385681152344,493.40984665679156,482.46728957367725,493.40984665679156,2847198
2000-12-21,491.42034912109375,494.404683225068,484.4569028784872,487.4412369824614,571714
2000-12-22,495.6480407714844,502.1638232434605,491.42023510509443,491.42023510509443,289061
2000-12-25,495.6480407714844,495.6480407714844,495.6480407714844,495.6480407714844,0
2000-12-26,495.6480407714844,495.6480407714844,495.6480407714844,495.6480407714844,0
2000-12-27,499.3783874511719,500.8705539475399,493.4097214656997,495.2003091180593,263533
2000-12-28,501.3680725097656,503.1586606254439,492.4150712149484,495.39940497988744,628964
2000-12-29,500.8706359863281,502.3628027271017,498.38369141837217,500.37324707273694,247756
2001-01-01,500.8706359863281,500.8706359863281,500.8706359863281,500.8706359863281,0
2001-01-02,518.5278930664062,522.2583095632868,499.3784217157524,499.3784217157524,966570
2001-01-03,512.3106079101562,519.5724742867632,509.82366321156326,519.5724742867632,1118390
2001-01-04,495.1507873535156,512.3107091653652,494.40470379647866,512.3107091653652,2729766
2001-01-05,492.91241455078125,507.3366930795125,485.4515808290237,498.38369261340347,1209860
2001-01-08,500.3733215332031,504.3524334340636,489.4307638058369,501.4675833775827,1017936
2001-01-09,497.8863830566406,507.3367739438296,493.70830336322894,502.3628840032038,2888455
2001-01-10,501.8654479980469,508.3315043151674,497.1899797485364,500.27379729449785,618097
2001-01-11,507.3367614746094,507.3367614746094,490.72395733793945,492.9124810013117,1538506
2001-01-12,492.4150695800781,507.336738355232,485.75004538389095,507.336738355232,950406
2001-01-15,487.44122314453125,498.1848134705531,472.0221640450614,492.4151131766183,1256928
2001-01-16,481.47247314453125,489.4306958411351,473.81267165576594,477.49336179622935,2057653
2001-01-17,484.4568176269531,485.94898441635854,474.50903903091717,480.4777061885387,1277982
2001-01-18,492.4150695800781,492.4150695800781,482.4672903966422,484.4568462333294,442847
2001-01-19,483.2133483886719,486.74479766953516,481.77090833974955,481.77090833974955,378220
2001-01-22,486.44635009765625,492.41501697002013,482.46723884941366,483.76043786180867,833891
2001-01-23,483.462158203125,487.44127061631946,479.7814670776328,481.9699910481771,410096
2001-01-24,470.5299072265625,482.46724102512223,470.5299072265625,476.49857412584237,1852401
2001-01-25,467.545654296875,473.51432222406913,464.3623525924188,470.52998826047207,619930
2001-01-26,476.001220703125,478.4881654298916,459.5873855064655,465.5560528507053,710695
2001-01-29,477.0657958984375,488.80588050332693,468.90741143561314,468.90741143561314,724334
2001-01-30,492.4871520996094,495.47192271839486,474.8769933037121,476.56837546608665,756347
2001-01-31,487.5125732421875,497.4618094308036,479.0557224818639,492.4871913364956,625635
2001-02-01,492.4871520996094,492.4871520996094,475.5734519264915,478.95618588858366,213709
2001-02-02,483.0352783203125,493.48197332003093,479.5530466537397,479.5530466537397,211686
2001-02-05,485.5225830078125,487.51242965948387,479.35404624257114,479.35404624257114,246040
2001-02-06,484.0302429199219,488.5073983015039,477.86170558245874,477.86170558245874,830207
2001-02-07,480.0506286621094,492.48717344610185,478.8567082177828,483.03539941026753,910199
2001-02-08,487.5125732421875,492.28819446765954,481.54303152901787,481.54303152901787,485451
2001-02-09,487.5125732421875,497.4618094308036,486.0201878138951,487.0151114327567,1121104
2001-02-12,497.4617614746094,497.7602263864316,483.53283215332027,484.5277556762695,201432
2001-02-13,507.4109191894531,507.4109191894531,492.4870686250575,498.45660885081577,2546919
2001-02-14,507.4109191894531,510.1966924830797,491.98960693957764,491.98960693957764,718157
2001-02-15,497.4617614746094,512.3856143188476,497.4617614746094,512.3856143188476,1455892
2001-02-16,482.5378723144531,499.45157093166074,479.55310197024,494.4769536913056,336028
2001-02-19,500.9440002441406,505.42115615496215,479.0556824579021,484.5277619044617,317350
2001-02-20,503.43133544921875,508.7044183197302,491.49225239508706,491.49225239508706,623213
2001-02-21,501.93890380859375,503.43128905282146,489.50236010669596,501.44144206051783,1228885
2001-02-22,496.4667053222656,499.4514750937422,487.512396007836,487.512396007836,570050
2001-02-23,489.5023498535156,502.43635503257195,486.51757942757956,496.46681418069977,831961
